,Title,Cluster,Citations,cite
0,Hybrid renewable energy systems for power generation in stand-alone applications: a review,1,490,"Bajpai, P., & Dash, V. (2012). Hybrid renewable energy systems for power generation in stand-alone applications: A review. Renewable and Sustainable Energy Reviews, 16(5), 2926â2939. https://doi.org/10.1016/j.rser.2012.02.009
"
1,Applications of fuzzy logic in renewable energy systems - a review,1,302,"Suganthi, L., Iniyan, S., & Samuel, A. A. (2015). Applications of fuzzy logic in renewable energy systems â A review. Renewable and Sustainable Energy Reviews, 48, 585â607. https://doi.org/10.1016/j.rser.2015.04.037
"
2,Protection challenges under bulk penetration of renewable energy resources in power systems: a review,1,268,"Telukunta, V., Pradhan, J., Agrawal, A., Singh, M., & Srivani, S. G. (2017). Protection challenges under bulk penetration of renewable energy resources in power systems: A review. CSEE Journal of Power and Energy Systems, 3(4), 365â379. https://doi.org/10.17775/cseejpes.2017.00030
"
3,A review on hybrid renewable energy systems,1,191,"Shivarama Krishna, K., & Sathish Kumar, K. (2015). A review on hybrid renewable energy systems. Renewable and Sustainable Energy Reviews, 52, 907â916. https://doi.org/10.1016/j.rser.2015.07.187
"
4,"Recently developed reduced switch multilevel inverter for renewable energy integration and drives application: topologies, comprehensive analysis and comparative evaluation",1,153,"Bana, P. R., Panda, K. P., Naayagi, R. T., Siano, P., & Panda, G. (2019). Recently Developed Reduced Switch Multilevel Inverter for Renewable Energy Integration and Drives Application: Topologies, Comprehensive Analysis and Comparative Evaluation. IEEE Access, 7, 54888â54909. https://doi.org/10.1109/access.2019.2913447
"
5,Role of renewable energy sources in environmental protection: a review,2,2024,"Panwar, N. L., Kaushik, S. C., & Kothari, S. (2011). Role of renewable energy sources in environmental protection: A review. Renewable and Sustainable Energy Reviews, 15(3), 1513â1524. https://doi.org/10.1016/j.rser.2010.11.037
"
6,A review of multi criteria decision making (mcdm) towards sustainable renewable energy development,2,791,"Kumar, A., Sah, B., Singh, A. R., Deng, Y., He, X., Kumar, P., & Bansal, R. C. (2017). A review of multi criteria decision making (MCDM) towards sustainable renewable energy development. Renewable and Sustainable Energy Reviews, 69, 596â609. https://doi.org/10.1016/j.rser.2016.11.191
"
7,Multi-criteria decision-making in the selection of a renewable energy project in spain: the vikor method,2,429,"San CristÃ³bal, J. R. (2011). Multi-criteria decision-making in the selection of a renewable energy project in spain: The Vikor method. Renewable Energy, 36(2), 498â502. https://doi.org/10.1016/j.renene.2010.07.031
"
8,Barriers to renewable/sustainable energy technologies adoption: indian perspective,2,316,"Luthra, S., Kumar, S., Garg, D., & Haleem, A. (2015). Barriers to renewable/sustainable energy technologies adoption: Indian perspective. Renewable and Sustainable Energy Reviews, 41, 762â776. https://doi.org/10.1016/j.rser.2014.08.077
"
9,Determinants of renewable energy growth: a global sample analysis,2,273,"Aguirre, M., & Ibikunle, G. (2014). Determinants of renewable energy growth: A global sample analysis. Energy Policy, 69, 374â384. https://doi.org/10.1016/j.enpol.2014.02.036
"
10,Waste-to-energy: a way from renewable energy sources to sustainable development,3,220,"Kothari, R., Tyagi, V. V., & Pathak, A. (2010). Waste-to-energy: A way from renewable energy sources to sustainable development. Renewable and Sustainable Energy Reviews, 14(9), 3164â3170. https://doi.org/10.1016/j.rser.2010.05.005
"
11,A review on tio 2/g-c 3n 4 visible-light- responsive photocatalysts for sustainable energy generation and environmental remediation,3,176,"Acharya, R., & Parida, K. (2020). A review on TiO2/g-C3N4 visible-light- responsive photocatalysts for sustainable energy generation and environmental remediation. Journal of Environmental Chemical Engineering, 8(4), 103896. https://doi.org/10.1016/j.jece.2020.103896
"
12,Biogas generation potential by anaerobic digestion for sustainable energy development in india,3,168,"Rao, P. V., Baral, S. S., Dey, R., & Mutnuri, S. (2010). Biogas generation potential by anaerobic digestion for sustainable energy development in India. Renewable and Sustainable Energy Reviews, 14(7), 2086â2094. https://doi.org/10.1016/j.rser.2010.03.031
"
13,"A review on microalgae, a versatile source for sustainable energy and materials",3,157,"Satyanarayana, K. G., Mariano, A. B., & Vargas, J. V. C. (2011). A review on microalgae, a versatile source for sustainable energy and materials. International Journal of Energy Research, 35(4), 291â311. https://doi.org/10.1002/er.1695
"
14,Heteroatom-doped graphene-based materials for sustainable energy applications: a review,3,150,"Lee, S. J., Theerthagiri, J., Nithyadharseni, P., Arunachalam, P., Balaji, D., Madan Kumar, A., Madhavan, J., Mittal, V., & Choi, M. Y. (2021). Heteroatom-doped graphene-based materials for sustainable energy applications: A review. Renewable and Sustainable Energy Reviews, 143, 110849. https://doi.org/10.1016/j.rser.2021.110849
"
15,"Renewable, non-renewable energy consumption, economic growth, trade openness and ecological footprint: evidence from organisation for economic co-operation and development countries",4,577,"Destek, M. A., & Sinha, A. (2020). Renewable, non-renewable energy consumption, economic growth, trade openness and ecological footprint: Evidence from organisation for economic Co-operation and development countries. Journal of Cleaner Production, 242, 118537. https://doi.org/10.1016/j.jclepro.2019.118537
"
16,Revisiting the role of renewable and non-renewable energy consumption on turkey's ecological footprint: evidence from quantile ardl approach,4,473,"Sharif, A., Baris-Tuzemen, O., Uzuner, G., Ozturk, I., & Sinha, A. (2020). Revisiting the role of renewable and non-renewable energy consumption on Turkeyâs ecological footprint: Evidence from Quantile ARDL approach. Sustainable Cities and Society, 57, 102138. https://doi.org/10.1016/j.scs.2020.102138
"
17,Estimation of environmental kuznets curve for co 2 emission: role of renewable energy generation in india,4,386,"Sinha, A., & Shahbaz, M. (2018). Estimation of Environmental Kuznets Curve for CO2 emission: Role of renewable energy generation in India. Renewable Energy, 119, 703â711. https://doi.org/10.1016/j.renene.2017.12.058
"
18,Do natural gas and renewable energy consumption lead to less co 2 emission? empirical evidence from a panel of brics countries,4,344,"Dong, K., Sun, R., & Hochman, G. (2017). Do natural gas and renewable energy consumption lead to less CO2 emission? Empirical evidence from a panel of BRICS countries. Energy, 141, 1466â1478. https://doi.org/10.1016/j.energy.2017.11.092
"
19,Why do some emerging economies proactively accelerate the adoption of renewable energy?,4,323,"Salim, R. A., & Rafiq, S. (2012). Why do some emerging economies proactively accelerate the adoption of renewable energy? Energy Economics, 34(4), 1051â1057. https://doi.org/10.1016/j.eneco.2011.08.015
"
20,Review of software tools for hybrid renewable energy systems,5,566,"Sinha, S., & Chandel, S. S. (2014). Review of software tools for hybrid renewable energy systems. Renewable and Sustainable Energy Reviews, 32, 192â205. https://doi.org/10.1016/j.rser.2014.01.035
"
21,"A review on integrated renewable energy system based power generation for stand-alone applications: configurations, storage options, sizing methodologies and control",5,472,"Chauhan, A., & Saini, R. P. (2014). A review on Integrated Renewable Energy System based power generation for stand-alone applications: Configurations, storage options, sizing methodologies and control. Renewable and Sustainable Energy Reviews, 38, 99â120. https://doi.org/10.1016/j.rser.2014.05.079
"
22,Solar-wind hybrid renewable energy system: a review,5,437,"Khare, V., Nema, S., & Baredar, P. (2016). Solarâwind hybrid renewable energy system: A review. Renewable and Sustainable Energy Reviews, 58, 23â33. https://doi.org/10.1016/j.rser.2015.12.223
"
23,Off-grid electricity generation with renewable energy technologies in india: an application of homer,5,379,"Sen, R., & Bhattacharyya, S. C. (2014). Off-grid electricity generation with renewable energy technologies inÂ India: An application of HOMER. Renewable Energy, 62, 388â398. https://doi.org/10.1016/j.renene.2013.07.028
"
24,"A review on planning, configurations, modeling and optimization techniques of hybrid renewable energy systems for off grid applications",5,245,"Siddaiah, R., & Saini, R. P. (2016). A review on planning, configurations, modeling and optimization techniques of hybrid renewable energy systems for off grid applications. Renewable and Sustainable Energy Reviews, 58, 376â396. https://doi.org/10.1016/j.rser.2015.12.281
"
